Clave,Nombre,Clave,Nombre,pop,marg,marg_cat
1,Aguascalientes,1001,Aguascalientes,877190,-1.36584,Bajo
1,Aguascalientes,1002,Asientos,46464,-0.88392,Bajo
1,Aguascalientes,1003,Calvillo,56048,-0.97946,Muy bajo
1,Aguascalientes,1004,Cosío,15577,-1.06269,Muy bajo
1,Aguascalientes,1005,Jesús María,120405,-1.18862,Muy bajo
1,Aguascalientes,1006,Pabellón de Arteaga,46473,-1.19741,Muy bajo
1,Aguascalientes,1007,Rincón de Romos,53866,-1.13234,Bajo
1,Aguascalientes,1008,San José de Gracia,8896,-0.99088,Bajo
1,Aguascalientes,1009,Tepezalá,20926,-0.95746,Bajo
1,Aguascalientes,1010,El Llano,20245,-0.77657,Muy bajo
1,Aguascalientes,1011,San Francisco de los Romo,46454,-1.17799,Bajo
2,Baja California,2001,Ensenada,486639,-0.98316,Muy bajo
2,Baja California,2002,Mexicali,988417,-1.33732,Muy bajo
2,Baja California,2003,Tecate,102406,-1.09647,Muy bajo
2,Baja California,2004,Tijuana,1641570,-1.26209,Muy bajo
2,Baja California,2005,Playas de Rosarito,96734,-1.03931,Bajo
3,Baja California Sur,3001,Comondú,72564,-0.77662,Bajo
3,Baja California Sur,3002,Mulegé,60171,-0.6349,Muy bajo
3,Baja California Sur,3003,La Paz,272711,-1.23533,Bajo
3,Baja California Sur,3008,Los Cabos,287671,-0.92633,Bajo
3,Baja California Sur,3009,Loreto,18912,-0.89597,Bajo
4,Campeche,4001,Calkiní,56537,-0.44277,Muy bajo
4,Campeche,4002,Campeche,283025,-1.23679,Bajo
4,Campeche,4003,Carmen,248303,-0.97921,Bajo
4,Campeche,4004,Champotón,90244,-0.46618,Bajo
4,Campeche,4005,Hecelchakán,31230,-0.40398,Medio
4,Campeche,4006,Hopelchén,40100,0.21566,Bajo
4,Campeche,4007,Palizada,8971,-0.47,Bajo
4,Campeche,4008,Tenabo,10665,-0.3995,Bajo
4,Campeche,4009,Escárcega,58553,-0.42768,Alto
4,Campeche,4010,Calakmul,28424,0.54195,Alto
4,Campeche,4011,Candelaria,43879,0.61123,Muy bajo
5,Coahuila,5001,Abasolo,1015,-1.12477,Muy bajo
5,Coahuila,5002,Acuña,147809,-1.16514,Muy bajo
5,Coahuila,5003,Allende,22654,-1.34558,Bajo
5,Coahuila,5004,Arteaga,23271,-0.93844,Bajo
5,Coahuila,5005,Candela,1720,-0.87798,Muy bajo
5,Coahuila,5006,Castaños,28068,-1.21777,Bajo
5,Coahuila,5007,Cuatro Ciénegas,13546,-0.76709,Bajo
5,Coahuila,5008,Escobedo,3077,-0.93914,Muy bajo
5,Coahuila,5009,Francisco I. Madero,58360,-1.03296,Muy bajo
5,Coahuila,5010,Frontera,80991,-1.35771,Bajo
5,Coahuila,5011,General Cepeda,12471,-0.79806,Bajo
5,Coahuila,5012,Guerrero,1697,-0.78778,Bajo
5,Coahuila,5013,Hidalgo,1565,-0.91708,Bajo
5,Coahuila,5014,Jiménez,10243,-0.50087,Muy bajo
5,Coahuila,5015,Juárez,1574,-1.01784,Muy bajo
5,Coahuila,5016,Lamadrid,1773,-1.16306,Muy bajo
5,Coahuila,5017,Matamoros,108950,-1.11494,Muy bajo
5,Coahuila,5018,Monclova,231107,-1.45838,Muy bajo
5,Coahuila,5019,Morelos,8599,-1.22335,Muy bajo
5,Coahuila,5020,Múzquiz,69102,-1.10156,Muy bajo
5,Coahuila,5021,Nadadores,6614,-1.26931,Muy bajo
5,Coahuila,5022,Nava,30698,-1.16645,Bajo
5,Coahuila,5023,Ocampo,11671,-0.5912,Bajo
5,Coahuila,5024,Parras,44799,-0.98993,Muy bajo
5,Coahuila,5025,Piedras Negras,163595,-1.28257,Bajo
5,Coahuila,5026,Progreso,3304,-0.96974,Muy bajo
5,Coahuila,5027,Ramos Arizpe,92828,-1.33646,Muy bajo
5,Coahuila,5028,Sabinas,63522,-1.30658,Muy bajo
5,Coahuila,5029,Sacramento,2360,-1.14136,Muy bajo
5,Coahuila,5030,Saltillo,807537,-1.45991,Muy bajo
5,Coahuila,5031,San Buenaventura,23587,-1.43167,Muy bajo
5,Coahuila,5032,San Juan de Sabinas,43232,-1.28656,Bajo
5,Coahuila,5033,San Pedro,106142,-0.93273,Bajo
5,Coahuila,5034,Sierra Mojada,6988,-0.99062,Muy bajo
5,Coahuila,5035,Torreón,679288,-1.39813,Bajo
5,Coahuila,5036,Viesca,21549,-0.6483,Muy bajo
5,Coahuila,5037,Villa Unión,6352,-1.13714,Muy bajo
5,Coahuila,5038,Zaragoza,13257,-1.09815,Bajo
6,Colima,6001,Armería,29599,-0.50655,Muy bajo
6,Colima,6002,Colima,150673,-1.25423,Bajo
6,Colima,6003,Comala,21544,-0.78225,Bajo
6,Colima,6004,Coquimatlán,20198,-0.85441,Muy bajo
6,Colima,6005,Cuauhtémoc,30198,-1.13203,Bajo
6,Colima,6006,Ixtlahuacán,5527,-0.61775,Muy bajo
6,Colima,6007,Manzanillo,184541,-1.14336,Bajo
6,Colima,6008,Minatitlán,8985,-0.8337,Bajo
6,Colima,6009,Tecomán,123191,-0.54663,Muy bajo
6,Colima,6010,Villa de Álvarez,136779,-1.41232,Medio
7,Chiapas,7001,Acacoyagua,18082,-0.09313,Medio
7,Chiapas,7002,Acala,31424,-0.06555,Medio
7,Chiapas,7003,Acapetahua,28380,0.18646,Alto
7,Chiapas,7004,Altamirano,32872,1.61006,Alto
7,Chiapas,7005,Amatán,19348,1.22761,Medio
7,Chiapas,7006,Amatenango de la Frontera,30732,0.21495,Muy alto
7,Chiapas,7007,Amatenango del Valle,9913,2.0678,Alto
7,Chiapas,7008,Angel Albino Corzo,28162,0.4441,Bajo
7,Chiapas,7009,Arriaga,40114,-0.47036,Alto
7,Chiapas,7010,Bejucal de Ocampo,7494,0.94107,Alto
7,Chiapas,7011,Bella Vista,20142,0.58096,Medio
7,Chiapas,7012,Berriozábal,51722,0.09199,Alto
7,Chiapas,7013,Bochil,34997,0.50454,Alto
7,Chiapas,7014,El Bosque,22606,1.28838,Medio
7,Chiapas,7015,Cacahoatán,45594,-0.10383,Medio
7,Chiapas,7016,Catazajá,17065,0.02224,Medio
7,Chiapas,7017,Cintalapa,84455,-0.24212,Alto
7,Chiapas,7018,Coapilla,9210,0.50133,Medio
7,Chiapas,7019,Comitán de Domínguez,153448,-0.14103,Alto
7,Chiapas,7020,La Concordia,46405,0.50146,Medio
7,Chiapas,7021,Copainalá,21800,0.07933,Muy alto
7,Chiapas,7022,Chalchihuitán,16803,3.51046,Muy alto
7,Chiapas,7023,Chamula,87332,2.67514,Muy alto
7,Chiapas,7024,Chanal,12181,2.30723,Alto
7,Chiapas,7025,Chapultenango,7644,0.56191,Muy alto
7,Chiapas,7026,Chenalhó,39648,2.48609,Bajo
7,Chiapas,7027,Chiapa de Corzo,100751,-0.38056,Medio
7,Chiapas,7028,Chiapilla,5899,0.25622,Bajo
7,Chiapas,7029,Chicoasén,5000,-0.39104,Alto
7,Chiapas,7030,Chicomuselo,34744,0.37018,Muy alto
7,Chiapas,7031,Chilón,127914,2.13064,Medio
7,Chiapas,7032,Escuintla,31822,0.00059,Alto
7,Chiapas,7033,Francisco León,7430,0.63828,Medio
7,Chiapas,7034,Frontera Comalapa,73436,-0.03249,Medio
7,Chiapas,7035,Frontera Hidalgo,14416,0.13705,Alto
7,Chiapas,7036,La Grandeza,7057,0.6378,Medio
7,Chiapas,7037,Huehuetán,35017,0.28737,Alto
7,Chiapas,7038,Huixtán,23625,1.70922,Alto
7,Chiapas,7039,Huitiupán,23172,1.40136,Medio
7,Chiapas,7040,Huixtla,54332,-0.05608,Alto
7,Chiapas,7041,La Independencia,44891,0.85667,Medio
7,Chiapas,7042,Ixhuatán,11342,0.29649,Medio
7,Chiapas,7043,Ixtacomitán,10772,0.31688,Alto
7,Chiapas,7044,Ixtapa,27198,0.38316,Alto
7,Chiapas,7045,Ixtapangajoya,5384,0.6088,Medio
7,Chiapas,7046,Jiquipilas,39109,-0.12086,Alto
7,Chiapas,7047,Jitotol,20606,0.58465,Medio
7,Chiapas,7048,Juárez,21222,-0.30725,Alto
7,Chiapas,7049,Larráinzar,23889,1.40988,Bajo
7,Chiapas,7050,La Libertad,4915,-0.33542,Medio
7,Chiapas,7051,Mapastepec,47932,-0.13809,Alto
7,Chiapas,7052,Las Margaritas,122821,1.63047,Medio
7,Chiapas,7053,Mazapa de Madero,7769,0.19012,Alto
7,Chiapas,7054,Mazatán,29239,0.3794,Bajo
7,Chiapas,7055,Metapa,5743,-0.34869,Muy alto
7,Chiapas,7056,Mitontic,11906,2.82721,Medio
7,Chiapas,7057,Motozintla,72967,0.09809,Alto
7,Chiapas,7058,Nicolás Ruíz,4262,0.36308,Alto
7,Chiapas,7059,Ocosingo,218893,1.39123,Alto
7,Chiapas,7060,Ocotepec,12508,1.58455,Medio
7,Chiapas,7061,Ocozocoautla de Espinosa,92103,0.23805,Alto
7,Chiapas,7062,Ostuacán,18128,0.35802,Bajo
7,Chiapas,7063,Osumacinta,3682,-0.43322,Muy alto
7,Chiapas,7064,Oxchuc,48126,2.84459,Medio
7,Chiapas,7065,Palenque,119826,0.09385,Muy alto
7,Chiapas,7066,Pantelhó,22011,2.64764,Alto
7,Chiapas,7067,Pantepec,12136,1.0486,Medio
7,Chiapas,7068,Pichucalco,31107,-0.0671,Medio
7,Chiapas,7069,Pijijiapan,53525,-0.02138,Alto
7,Chiapas,7070,El Porvenir,14121,0.43151,Medio
7,Chiapas,7071,Villa Comaltitlán,28961,0.21777,Alto
7,Chiapas,7072,Pueblo Nuevo Solistahuacán,31942,1.17187,Alto
7,Chiapas,7073,Rayón,9578,0.77152,Bajo
7,Chiapas,7074,Reforma,45104,-0.89665,Alto
7,Chiapas,7075,Las Rosas,28261,1.24544,Alto
7,Chiapas,7076,Sabanilla,26921,1.53065,Alto
7,Chiapas,7077,Salto de Agua,63446,0.9627,Medio
7,Chiapas,7078,San Cristóbal de las Casas,209591,-0.28787,Medio
7,Chiapas,7079,San Fernando,39204,0.10059,Alto
7,Chiapas,7080,Siltepec,35192,0.5463,Alto
7,Chiapas,7081,Simojovel,44295,1.49819,Muy alto
7,Chiapas,7082,Sitalá,13844,3.47964,Medio
7,Chiapas,7083,Socoltenango,18539,0.18965,Alto
7,Chiapas,7084,Solosuchiapa,8082,0.52544,Medio
7,Chiapas,7085,Soyaló,10707,0.16608,Medio
7,Chiapas,7086,Suchiapa,24049,-0.28098,Medio
7,Chiapas,7087,Suchiate,38797,0.35211,Medio
7,Chiapas,7088,Sunuapa,2283,0.24366,Bajo
7,Chiapas,7089,Tapachula,348156,-0.64112,Alto
7,Chiapas,7090,Tapalapa,3839,0.5336,Medio
7,Chiapas,7091,Tapilula,12887,-0.08877,Alto
7,Chiapas,7092,Tecpatán,41305,0.3753,Alto
7,Chiapas,7093,Tenejapa,43593,1.68441,Alto
7,Chiapas,7094,Teopisca,43175,1.24874,Alto
7,Chiapas,7096,Tila,77554,1.4722,Bajo
7,Chiapas,7097,Tonalá,89178,-0.47003,Alto
7,Chiapas,7098,Totolapa,7284,0.7494,Alto
7,Chiapas,7099,La Trinitaria,76917,0.62103,Muy alto
7,Chiapas,7100,Tumbalá,34305,1.74165,Muy bajo
7,Chiapas,7101,Tuxtla Gutiérrez,598710,-1.08186,Medio
7,Chiapas,7102,Tuxtla Chico,41823,0.02667,Medio
7,Chiapas,7103,Tuzantán,31755,0.08737,Medio
7,Chiapas,7104,Tzimol,15316,0.23263,Medio
7,Chiapas,7105,Unión Juárez,15350,-0.01317,Medio
7,Chiapas,7106,Venustiano Carranza,65009,0.30296,Medio
7,Chiapas,7107,Villa Corzo,79003,0.23234,Medio
7,Chiapas,7108,Villaflores,104833,-0.22793,Alto
7,Chiapas,7109,Yajalón,37833,1.41621,Alto
7,Chiapas,7110,San Lucas,7202,0.70028,Muy alto
7,Chiapas,7111,Zinacantán,41112,2.14332,Muy alto
7,Chiapas,7112,San Juan Cancuc,34829,2.90829,Alto
7,Chiapas,7113,Aldama,6712,1.53258,Alto
7,Chiapas,7114,Benemérito de las Américas,20193,0.60181,Muy alto
7,Chiapas,7115,Maravilla Tenejapa,12945,1.77399,Alto
7,Chiapas,7116,Marqués de Comillas,11444,0.99308,Alto
7,Chiapas,7117,Montecristo de Guerrero,7682,0.45369,Alto
7,Chiapas,7118,San Andrés Duraznal,5163,1.25222,Muy alto
7,Chiapas,7119,Santiago el Pinar,3684,1.80692,Bajo
8,Chihuahua,8001,Ahumada,12568,-0.93857,Muy bajo
8,Chihuahua,8002,Aldama,24761,-1.22644,Muy bajo
8,Chihuahua,8003,Allende,8751,-1.10857,Muy bajo
8,Chihuahua,8004,Aquiles Serdán,15516,-1.29197,Bajo
8,Chihuahua,8005,Ascensión,24966,-0.82065,Bajo
8,Chihuahua,8006,Bachíniva,6156,-0.78913,Muy alto
8,Chihuahua,8007,Balleza,16824,2.51263,Muy alto
8,Chihuahua,8008,Batopilas,11289,5.12457,Alto
8,Chihuahua,8009,Bocoyna,27909,1.28151,ND 
8,Chihuahua,8010,Buenaventura,23438,ND ,Muy bajo
8,Chihuahua,8011,Camargo,51572,-1.26256,ND 
8,Chihuahua,8012,Carichí,9211,ND ,Bajo
8,Chihuahua,8013,Casas Grandes,11432,-0.94648,Muy bajo
8,Chihuahua,8014,Coronado,2096,-1.06653,Bajo
8,Chihuahua,8015,Coyame del Sotol,1684,-0.36891,Muy bajo
8,Chihuahua,8016,La Cruz,3861,-1.16807,Muy bajo
8,Chihuahua,8017,Cuauhtémoc,168482,-1.13479,Bajo
8,Chihuahua,8018,Cusihuiriachi,4594,-0.36195,Muy bajo
8,Chihuahua,8019,Chihuahua,878062,-1.49443,Alto
8,Chihuahua,8020,Chínipas,7501,1.41546,Muy bajo
8,Chihuahua,8021,Delicias,148045,-1.40217,Bajo
8,Chihuahua,8022,Dr. Belisario Domínguez,2491,-0.79867,Bajo
8,Chihuahua,8023,Galeana,6021,-0.66924,ND 
8,Chihuahua,8024,Santa Isabel,4099,ND ,Muy bajo
8,Chihuahua,8025,Gómez Farías,8905,-1.0691,Bajo
8,Chihuahua,8026,Gran Morelos,2466,-0.70903,Muy alto
8,Chihuahua,8027,Guachochi,45544,2.64193,Bajo
8,Chihuahua,8028,Guadalupe,5272,-0.98018,Muy alto
8,Chihuahua,8029,Guadalupe y Calvo,56130,2.62529,Alto
8,Chihuahua,8030,Guazapares,7429,1.60637,Bajo
8,Chihuahua,8031,Guerrero,39064,-0.33247,Muy bajo
8,Chihuahua,8032,Hidalgo del Parral,109510,-1.31483,Bajo
8,Chihuahua,8033,Huejotitán,952,-0.55929,Bajo
8,Chihuahua,8034,Ignacio Zaragoza,6903,-0.94999,Bajo
8,Chihuahua,8035,Janos,10974,-0.5734,Muy bajo
8,Chihuahua,8036,Jiménez,42860,-1.20041,Muy bajo
8,Chihuahua,8037,Juárez,1391180,-1.33004,Bajo
8,Chihuahua,8038,Julimes,4448,-0.93082,Muy bajo
8,Chihuahua,8039,López,4007,-1.07358,Bajo
8,Chihuahua,8040,Madera,29233,-0.55448,Muy alto
8,Chihuahua,8041,Maguarichi,1593,2.30433,Bajo
8,Chihuahua,8042,Manuel Benavides,1403,-0.41868,Bajo
8,Chihuahua,8043,Matachí,2961,-0.8186,Bajo
8,Chihuahua,8044,Matamoros,4371,-0.9844,Muy bajo
8,Chihuahua,8045,Meoqui,44752,-1.12322,Muy alto
8,Chihuahua,8046,Morelos,7797,2.73238,Alto
8,Chihuahua,8047,Moris,5141,0.64087,Bajo
8,Chihuahua,8048,Namiquipa,23255,-0.90476,Medio
8,Chihuahua,8049,Nonoava,2574,0.05566,Muy bajo
8,Chihuahua,8050,Nuevo Casas Grandes,63412,-1.33529,Medio
8,Chihuahua,8051,Ocampo,7569,0.12163,Muy bajo
8,Chihuahua,8052,Ojinaga,28040,-1.11471,Bajo
8,Chihuahua,8053,Praxedis G. Guerrero,5486,-0.86254,Medio
8,Chihuahua,8054,Riva Palacio,7969,0.01868,Muy bajo
